Sr. No.,Channel Name,HD/SD,Genre,EPG No. ,FTA/Pay ,MRP,MRP + Tax
1,DD National,SD,Hindi Entertainment,114,FTA,FTA,FTA
2,Star Plus HD,HD,Hindi Entertainment,115,Pay,? 19.00,? 22.42
3,Star Plus,SD,Hindi Entertainment,117,Pay,? 19.00,? 22.42
4,Star Bharat HD,HD,Hindi Entertainment,121,Pay,? 19.00,? 22.42
5,Star Bharat,SD,Hindi Entertainment,122,Pay,? 10.00,? 11.80
6,SET HD,HD,Hindi Entertainment,128,Pay,? 19.00,? 22.42
7,SET,SD,Hindi Entertainment,130,Pay,? 19.00,? 22.42
8,Sony SAB HD,HD,Hindi Entertainment,132,Pay,? 19.00,? 22.42
9,Sony SAB,SD,Hindi Entertainment,134,Pay,? 19.00,? 22.42
10,&TV HD,HD,Hindi Entertainment,137,Pay,? 19.00,? 22.42
11,&TV,SD,Hindi Entertainment,139,Pay,? 12.00,? 14.16
12,Zee TV HD,HD,Hindi Entertainment,141,Pay,? 19.00,? 22.42
13,Zee TV,SD,Hindi Entertainment,143,Pay,? 19.00,? 22.42
14,Colors HD,HD,Hindi Entertainment,147,Pay,? 19.00,? 22.42
15,Colors,SD,Hindi Entertainment,149,Pay,? 19.00,? 22.42
16,UTV Bindass,SD,Hindi Entertainment,153,Pay,? 1.00,? 1.18
17,Investigation Discovery,SD,Hindi Entertainment,155,Pay,? 1.00,? 1.18
18,Naaptol,SD,Shopping,156,FTA,FTA,FTA
19,Ezmall,SD,Others,158,FTA,FTA,FTA
20,Star Utsav,SD,Hindi Entertainment,171,Pay,? 1.00,? 1.18
21,Zee Anmol,SD,Hindi Entertainment,172,Pay,? 0.10,? 0.12
22,Colors Rishtey,SD,Hindi Entertainment,173,Pay,? 1.00,? 1.18
23,Sony Pal,SD,Hindi Entertainment,174,Pay,? 1.00,? 1.18
24,The Q,SD,Hindi Entertainment,175,FTA,FTA,FTA
25,Big Magic,SD,Hindi Entertainment,176,Pay,? 0.10,? 0.12
26,Dangal,SD,Hindi Entertainment,177,FTA,FTA,FTA
27,Anjan TV,SD,Hindi Entertainment,178,FTA,FTA,FTA
28,DD Retro,SD,Hindi Entertainment,180,FTA,FTA,FTA
29,Shemaroo TV,SD,Hindi Entertainment,181,FTA,FTA,FTA
30,Ishara,SD,Hindi Entertainment,182,Pay,? 5.00,? 5.90
31,DD Kisan,SD,Hindi Entertainment,198,FTA,FTA,FTA
32,Star World HD,HD,English Entertainment,202,Pay,? 9.00,? 10.62
33,Star World,SD,English Entertainment,203,Pay,? 8.00,? 9.44
34,Star World Premiere HD,HD,English Entertainment,206,Pay,? 9.00,? 10.62
35,Zee Café HD,HD,English Entertainment,210,Pay,? 19.00,? 22.42
36,Zee Café,SD,English Entertainment,211,Pay,? 15.00,? 17.70
37,Colors Infinity HD,HD,English Entertainment,214,Pay,? 9.00,? 10.62
38,Colors Infinity,SD,English Entertainment,215,Pay,? 5.00,? 5.90
39,Comedy Central HD,HD,English Entertainment,218,Pay,? 9.00,? 10.62
40,Comedy Central,SD,English Entertainment,219,Pay,? 5.00,? 5.90
41,Disney International HD,HD,English Entertainment,221,Pay,? 12.00,? 14.16
42,Star Gold HD,HD,Hindi Movies,308,Pay,? 10.00,? 11.80
43,Star Gold,SD,Hindi Movies,310,Pay,? 8.00,? 9.44
44,Sony Max HD,HD,Hindi Movies,312,Pay,? 17.00,? 20.06
45,Sony Max,SD,Hindi Movies,314,Pay,? 15.00,? 17.70
46,Star Gold 2,SD,Hindi Movies,317,Pay,? 1.00,? 1.18
47,Zee Cinema HD,HD,Hindi Movies,319,Pay,? 19.00,? 22.42
48,Zee Cinema,SD,Hindi Movies,321,Pay,? 15.00,? 17.70
49,UTV HD,HD,Hindi Movies,322,Pay,? 8.00,? 9.44
50,UTV Movies,SD,Hindi Movies,323,Pay,? 2.00,? 2.36
51,UTV Action,SD,Hindi Movies,325,Pay,? 2.00,? 2.36
52,Zee Bollywood,SD,Hindi Movies,327,Pay,? 2.00,? 2.36
53,Zee Classic,SD,Hindi Movies,328,Pay,? 0.50,? 0.59
54,&pictures HD,HD,Hindi Movies,331,Pay,? 19.00,? 22.42
55,&pictures,SD,Hindi Movies,332,Pay,? 6.00,? 7.08
56,Cinema TV India,SD,Hindi Movies,345,FTA,FTA,FTA
57,B4U Kadak,SD,Hindi Movies,346,FTA,FTA,FTA
58,Zee Action,SD,Hindi Movies,349,Pay,? 1.00,? 1.18
59,Sony Wah,SD,Hindi Movies,351,Pay,? 1.00,? 1.18
60,B4U Movies,SD,Hindi Movies,352,FTA,FTA,FTA
61,Sony Max 2,SD,Hindi Movies,355,Pay,? 1.00,? 1.18
